model,subset,images,gt,AP5095,AP50,AP75,APS,APM,APL,AR100
DEIM,All,1027,7846,10.755318120149733,19.72822602413081,10.032928114120256,2.7143655712120003,10.64149355169475,15.77047693663107,30.01274220027936
DEIM,Fog,300,1951,12.267934814285454,23.22413141976528,11.401203884688274,4.56516416081715,13.722039464506471,16.43353437408828,30.121462913572117
DEIM,Rain,200,1588,14.930614342153376,27.389761957614102,14.647272471413242,2.4562391258128624,15.082595916753974,19.777340291756186,39.86199046301897
DEIM,Sand,323,2235,8.994175317762503,16.743841096831563,7.602493548420933,2.774472848473899,8.373867802423975,14.074708300100912,27.90880599161974
DEIM,Snow,204,2072,12.02973940422443,22.855668469320754,12.114347155207781,3.7898236287712668,12.144967947317593,17.288741404638092,40.80027636027205
D-FINE,All,1027,7846,13.184029528133356,24.644678002841385,12.478202902066862,2.4523848517994162,10.241035592222822,21.160757014383623,33.6602024454361
D-FINE,Fog,300,1951,13.539925639202071,25.283837145781163,12.715179303405941,4.050687006084997,11.647400487670511,20.685937270698084,34.65560588089364
D-FINE,Rain,200,1588,16.45763290863566,34.33819770493308,15.681219183965405,2.9624163405595088,11.789918645127182,25.4580940461842,38.121221033814265
D-FINE,Sand,323,2235,12.552589314658949,21.37370008145971,12.285706671444165,3.285036637502292,8.872256188952818,21.158519689583283,29.562197576049854
D-FINE,Snow,204,2072,15.633800684469112,40.88121005586165,12.248189303895405,3.1487668845285555,12.324783709464148,21.807907914659186,42.27798683698927
