run_id,framework,experiment,model,dataset,record_type,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,1,130.34071683883667,1.07192,0.71756,0.89184,0.80211,0.72056,0.80207,0.50306,0.96207,0.52496,0.85059,0.0003697464342313788,0.0003697464342313788,0.0003697464342313788
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,2,252.9792559146881,0.9873,0.55488,0.86302,0.85111,0.73061,0.83521,0.53844,0.91303,0.50522,0.84184,0.0007327529778658214,0.0007327529778658214,0.0007327529778658214
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,3,375.50868105888367,0.95748,0.53399,0.85618,0.84047,0.73632,0.83194,0.539,0.90888,0.50225,0.83857,0.0010884269215002643,0.0010884269215002643,0.0010884269215002643
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,4,497.5621826648712,0.94046,0.51697,0.85131,0.84168,0.76898,0.85323,0.56227,0.88262,0.47591,0.83615,0.0010780033,0.0010780033,0.0010780033
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,5,619.2970626354218,0.9157,0.50018,0.84723,0.85848,0.76695,0.85387,0.5693,0.86937,0.46179,0.83525,0.0010670044,0.0010670044,0.0010670044
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,6,743.1865587234497,0.90587,0.49537,0.84613,0.84464,0.76835,0.85337,0.57209,0.84814,0.46102,0.82982,0.0010560055,0.0010560055,0.0010560055
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,7,868.2164621353149,0.89829,0.48831,0.84428,0.85354,0.76367,0.85832,0.57,0.86609,0.46152,0.83365,0.0010450066,0.0010450066,0.0010450066
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,8,990.1759703159332,0.88092,0.47941,0.84125,0.8639,0.77037,0.86024,0.58047,0.84152,0.45306,0.8298,0.0010340077,0.0010340077,0.0010340077
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,9,1112.8083593845367,0.87763,0.47821,0.84051,0.86922,0.7765,0.86664,0.59095,0.83117,0.4501,0.82878,0.0010230088,0.0010230088,0.0010230088
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,10,1236.6032364368439,0.87761,0.47169,0.83949,0.85489,0.77468,0.85917,0.58046,0.84314,0.45258,0.82927,0.0010120099,0.0010120099,0.0010120099
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,11,1359.6674411296844,0.86667,0.4684,0.83817,0.8566,0.77951,0.87057,0.59428,0.81806,0.44148,0.82483,0.001001011,0.001001011,0.001001011
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,12,1482.347772359848,0.85967,0.46626,0.83769,0.86252,0.78431,0.87247,0.59554,0.82354,0.44104,0.82589,0.0009900121,0.0009900121,0.0009900121
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,13,1603.6387774944305,0.85469,0.46032,0.8369,0.87018,0.76812,0.86833,0.58922,0.82477,0.43359,0.82623,0.0009790132,0.0009790132,0.0009790132
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,14,1724.16153550148,0.84914,0.4603,0.83545,0.86996,0.78958,0.8767,0.60589,0.80894,0.43224,0.82402,0.0009680143,0.0009680143,0.0009680143
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,15,1845.8345131874084,0.84004,0.45233,0.8332,0.88391,0.7835,0.87762,0.61046,0.79695,0.41765,0.82206,0.0009570153999999999,0.0009570153999999999,0.0009570153999999999
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,16,1968.5717730522156,0.83497,0.44908,0.83265,0.86481,0.77934,0.87298,0.60555,0.7968,0.4273,0.82167,0.0009460165,0.0009460165,0.0009460165
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,17,2092.808192253113,0.83207,0.44676,0.83292,0.86864,0.78018,0.87043,0.60396,0.79909,0.43017,0.82229,0.0009350176,0.0009350176,0.0009350176
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,18,2215.396299123764,0.82647,0.44409,0.83146,0.88392,0.78896,0.87988,0.61044,0.79724,0.42091,0.82177,0.0009240187,0.0009240187,0.0009240187
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,19,2336.578104019165,0.82371,0.44315,0.83025,0.88254,0.78309,0.88187,0.61544,0.78991,0.41796,0.82059,0.0009130198000000001,0.0009130198000000001,0.0009130198000000001
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,20,2462.833092689514,0.82024,0.44057,0.83071,0.87533,0.78541,0.87441,0.60729,0.79912,0.42748,0.82268,0.0009020209000000001,0.0009020209000000001,0.0009020209000000001
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,21,2584.4861783981323,0.81926,0.43813,0.83024,0.85478,0.80857,0.88223,0.61944,0.77727,0.41287,0.8197,0.0008910220000000001,0.0008910220000000001,0.0008910220000000001
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,22,2706.513358592987,0.81012,0.43579,0.82841,0.87976,0.78966,0.87935,0.61316,0.78634,0.41778,0.81969,0.0008800231,0.0008800231,0.0008800231
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,23,2830.4363417625427,0.8095,0.43379,0.82894,0.88405,0.79809,0.88485,0.62262,0.77447,0.41072,0.81795,0.0008690242,0.0008690242,0.0008690242
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,24,2952.470446586609,0.80889,0.43413,0.82835,0.88072,0.78797,0.88215,0.6193,0.77745,0.40978,0.81936,0.0008580253,0.0008580253,0.0008580253
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,25,3074.7843267917633,0.80278,0.43085,0.82804,0.88115,0.78976,0.8827,0.62172,0.77074,0.40749,0.81834,0.0008470264,0.0008470264,0.0008470264
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,26,3198.065229177475,0.80351,0.43083,0.82679,0.88568,0.80059,0.88707,0.62543,0.77045,0.40701,0.81764,0.0008360275,0.0008360275,0.0008360275
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,27,3324.074197292328,0.8012,0.42774,0.82586,0.87997,0.79891,0.88663,0.62488,0.77001,0.40588,0.81722,0.0008250286000000001,0.0008250286000000001,0.0008250286000000001
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,28,3447.017631292343,0.79653,0.42691,0.82615,0.88331,0.80181,0.88937,0.62622,0.77024,0.40583,0.81788,0.0008140297,0.0008140297,0.0008140297
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,29,3568.6631565093994,0.79614,0.42582,0.82651,0.87896,0.79371,0.88615,0.62893,0.77005,0.4034,0.81777,0.0008030308,0.0008030308,0.0008030308
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,30,3690.6954069137573,0.79091,0.41952,0.8248,0.88303,0.80307,0.88737,0.63081,0.7601,0.39809,0.81628,0.0007920319,0.0007920319,0.0007920319
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,31,3813.269992828369,0.78424,0.41798,0.82291,0.87303,0.80657,0.8876,0.62782,0.76536,0.39936,0.81656,0.000781033,0.000781033,0.000781033
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,32,3934.4776751995087,0.79457,0.42264,0.82518,0.88958,0.79307,0.88536,0.62804,0.75992,0.39917,0.81623,0.0007700341,0.0007700341,0.0007700341
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,33,4056.8656299114227,0.78328,0.41638,0.82461,0.88153,0.80435,0.88955,0.6292,0.75902,0.39734,0.81608,0.0007590351999999999,0.0007590351999999999,0.0007590351999999999
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,34,4178.38587641716,0.78338,0.41593,0.82397,0.88049,0.80407,0.89001,0.63392,0.75503,0.39351,0.81524,0.0007480362999999999,0.0007480362999999999,0.0007480362999999999
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,35,4300.342784881592,0.78527,0.41682,0.82452,0.87391,0.80586,0.89122,0.63305,0.75787,0.39499,0.81563,0.0007370373999999999,0.0007370373999999999,0.0007370373999999999
yolo_yolov5m_20260729_154624,yolo,yolo_yolov5m_20260729_154624,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO_Vehicle5/dairv2x_vehicle5.yaml,train,36,4422.613087892532,0.78175,0.41793,0.82335,0.88384,0.80556,0.89051,0.63636,0.75579,0.39261,0.81499,0.0007260385,0.0007260385,0.0007260385
