run_id,framework,experiment,model,dataset,record_type,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,1,127.75719833374023,1.07919,0.88693,0.89251,0.80351,0.73642,0.79853,0.53683,0.94536,0.57506,0.84695,0.0002767879746835443,0.0002767879746835443,0.0002767879746835443
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,2,250.45913743972778,0.97729,0.61,0.85912,0.80967,0.75549,0.81508,0.5604,0.91658,0.5632,0.84164,0.0005489655404008439,0.0005489655404008439,0.0005489655404008439
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,3,935.3673942089081,0.95701,0.5801,0.85336,0.83849,0.76268,0.82965,0.58442,0.88303,0.53261,0.83655,0.0008156453061181434,0.0008156453061181434,0.0008156453061181434
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,4,1340.7869267463684,0.93149,0.55986,0.8483,0.83631,0.78047,0.83776,0.59153,0.87408,0.51599,0.83482,0.0008082599,0.0008082599,0.0008082599
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,5,1541.1111199855804,0.91349,0.54576,0.84686,0.84145,0.77889,0.84422,0.60142,0.86176,0.51708,0.83166,0.0008000131999999999,0.0008000131999999999,0.0008000131999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,6,1672.2402746677399,0.89865,0.53132,0.84265,0.84987,0.79252,0.85502,0.60986,0.85465,0.49623,0.83116,0.0007917665,0.0007917665,0.0007917665
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,7,1852.8973486423492,0.88468,0.51821,0.84044,0.83684,0.80395,0.85343,0.6141,0.83734,0.47997,0.82934,0.0007835197999999999,0.0007835197999999999,0.0007835197999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,8,1973.7916469573975,0.87654,0.51341,0.83961,0.84788,0.78784,0.85263,0.61567,0.84049,0.49429,0.82944,0.0007752731,0.0007752731,0.0007752731
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,9,2172.947496175766,0.86681,0.50926,0.83706,0.85893,0.80088,0.86079,0.62335,0.82353,0.4759,0.82755,0.0007670264,0.0007670264,0.0007670264
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,10,2387.9436700344086,0.86281,0.50808,0.83764,0.8097,0.813,0.85781,0.62181,0.82859,0.48785,0.82667,0.0007587797,0.0007587797,0.0007587797
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,11,2535.4516010284424,0.85612,0.4981,0.83565,0.83972,0.81164,0.86268,0.62614,0.82021,0.47168,0.82646,0.000750533,0.000750533,0.000750533
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,12,2659.254761695862,0.84767,0.49186,0.83428,0.84767,0.80864,0.86324,0.62257,0.8261,0.47854,0.82662,0.0007422863,0.0007422863,0.0007422863
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,13,3008.4239275455475,0.84498,0.493,0.83433,0.84902,0.7997,0.86078,0.62436,0.81262,0.47299,0.82433,0.0007340396,0.0007340396,0.0007340396
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,14,3129.7789108753204,0.84041,0.48762,0.83264,0.84883,0.80952,0.86725,0.63779,0.8059,0.46622,0.82278,0.0007257928999999999,0.0007257928999999999,0.0007257928999999999
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,15,3323.580907344818,0.83276,0.48525,0.82955,0.86188,0.79757,0.87239,0.64156,0.80184,0.46455,0.82178,0.0007175462,0.0007175462,0.0007175462
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,16,3446.826129436493,0.8248,0.47724,0.83066,0.84996,0.82183,0.87586,0.6467,0.78964,0.45915,0.8208,0.0007092995,0.0007092995,0.0007092995
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,17,3577.4855246543884,0.82157,0.47424,0.82913,0.86413,0.80707,0.87102,0.63935,0.79503,0.45855,0.81962,0.0007010528,0.0007010528,0.0007010528
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,18,3844.571421146393,0.82391,0.474,0.82946,0.85592,0.81719,0.87383,0.64685,0.7838,0.44724,0.81899,0.0006928061,0.0006928061,0.0006928061
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,19,3970.618450164795,0.81353,0.4701,0.82846,0.85909,0.80973,0.87161,0.64147,0.79545,0.45235,0.82048,0.0006845594000000001,0.0006845594000000001,0.0006845594000000001
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,20,4206.006576538086,0.81333,0.46729,0.82773,0.85636,0.82627,0.8825,0.65115,0.78605,0.45059,0.81925,0.0006763127,0.0006763127,0.0006763127
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,21,4328.3488483428955,0.81104,0.46857,0.82684,0.85893,0.81481,0.87668,0.64942,0.77938,0.44361,0.81811,0.000668066,0.000668066,0.000668066
yolo_yolov5m_20260714_182913,yolo,yolo_yolov5m_20260714_182913,yolov5m.pt,/root/autodl-fs/datasets/DAIR-V2X_YOLO/dairv2x.yaml,train,22,4539.034971237183,0.80683,0.46331,0.82654,0.85405,0.82642,0.87879,0.65341,0.77561,0.44208,0.81771,0.0006598193,0.0006598193,0.0006598193
