run_id,framework,experiment,model,dataset,record_type,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,1,125.14042496681213,0.97555,0.6963,0.9813,0.87284,0.86382,0.92194,0.6441,1.09514,0.74326,1.05746,0.0006656017039403621,0.0006656017039403621,0.0006656017039403621
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,2,241.69357061386108,0.97695,0.63005,0.98378,0.89541,0.84351,0.92397,0.61901,1.15456,0.74115,1.08026,0.0013190789137380193,0.0013190789137380193,0.0013190789137380193
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,3,356.9561433792114,0.95341,0.59582,0.97247,0.91024,0.8495,0.93264,0.65222,1.07833,0.60998,1.0282,0.0019593561235356763,0.0019593561235356763,0.0019593561235356763
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,4,472.31885266304016,0.9205,0.55849,0.95634,0.88015,0.81612,0.89794,0.62704,1.0953,0.61361,1.04317,0.0019406,0.0019406,0.0019406
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,5,587.1949112415314,0.89995,0.54025,0.95196,0.91138,0.81002,0.90181,0.63092,1.08664,0.64635,1.0508,0.0019207999999999999,0.0019207999999999999,0.0019207999999999999
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,6,700.4622695446014,0.8709,0.51054,0.93925,0.8967,0.84585,0.92741,0.65967,1.05536,0.59028,1.0157,0.0019010000000000001,0.0019010000000000001,0.0019010000000000001
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,7,813.5500166416168,0.85391,0.50102,0.93507,0.90293,0.85397,0.93039,0.66359,1.0646,0.58313,1.01354,0.0018812,0.0018812,0.0018812
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,8,926.8015644550323,0.83649,0.47748,0.9277,0.90695,0.84025,0.92129,0.6547,1.04937,0.62899,1.02177,0.0018614,0.0018614,0.0018614
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,9,1041.7326438426971,0.82533,0.47123,0.92579,0.88292,0.84298,0.91911,0.66919,1.02256,0.56932,1.01008,0.0018416,0.0018416,0.0018416
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,10,1156.5064256191254,0.81137,0.46186,0.91932,0.90094,0.84329,0.91507,0.6594,1.06669,0.57962,1.0266,0.0018218000000000002,0.0018218000000000002,0.0018218000000000002
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,11,1269.5927734375,0.80373,0.45562,0.91712,0.91588,0.85908,0.93344,0.66986,1.07437,0.56215,1.03054,0.001802,0.001802,0.001802
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,12,1383.2708699703217,0.78749,0.43944,0.91142,0.90835,0.86007,0.92865,0.67674,1.02347,0.54697,1.00328,0.0017822,0.0017822,0.0017822
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,13,1496.857355594635,0.78724,0.43753,0.90987,0.92693,0.86027,0.93867,0.68372,1.01849,0.5315,1.00492,0.0017624,0.0017624,0.0017624
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,14,1609.5554971694946,0.77998,0.43017,0.90707,0.91276,0.86255,0.9244,0.67164,1.01126,0.55264,1.00682,0.0017426,0.0017426,0.0017426
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,15,1723.4072415828705,0.76338,0.42243,0.90308,0.92878,0.83972,0.92746,0.67352,1.0451,0.55941,1.02336,0.0017228,0.0017228,0.0017228
yolo_yolov5m_20260729_191111,yolo,yolo_yolov5m_20260729_191111,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO_Vehicle1/uadetrac_vehicle1.yaml,train,16,1838.5543444156647,0.76395,0.41901,0.90253,0.92449,0.84233,0.92783,0.68341,1.03773,0.5591,1.01498,0.001703,0.001703,0.001703
