run_id,framework,experiment,model,dataset,record_type,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train/total_loss,val/total_loss
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,1,124.9005777835846,0.93899,0.86365,0.96272,0.84452,0.67358,0.75815,0.53966,1.05832,0.85096,1.01751,0.00041533546325878595,0.00041533546325878595,0.00041533546325878595,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,2,241.8948016166687,0.9172,0.65806,0.95247,0.7114,0.59682,0.69922,0.47976,1.11976,0.81315,1.05747,0.0008237653088391906,0.0008237653088391906,0.0008237653088391906,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,3,358.0637559890747,0.90783,0.63303,0.94862,0.76378,0.62264,0.71521,0.49602,1.11901,0.86626,1.04151,0.0012239451544195953,0.0012239451544195953,0.0012239451544195953,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,4,473.597286939621,0.88052,0.58979,0.93796,0.78651,0.65757,0.76131,0.52937,1.13311,0.72776,1.05928,0.001212875,0.001212875,0.001212875,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,5,588.8635995388031,0.85064,0.56149,0.93148,0.77667,0.67263,0.76637,0.54036,1.08007,0.71024,1.02323,0.0012005,0.0012005,0.0012005,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,6,704.4412667751312,0.82658,0.53499,0.92119,0.84667,0.70912,0.7916,0.55938,1.06872,0.69241,1.03456,0.001188125,0.001188125,0.001188125,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,7,819.9073233604431,0.80621,0.52164,0.91538,0.82823,0.72861,0.82041,0.59423,1.01864,0.62128,0.99909,0.00117575,0.00117575,0.00117575,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,8,935.1406400203705,0.79458,0.50109,0.91052,0.88767,0.62866,0.77202,0.55984,1.03597,0.67769,1.00565,0.001163375,0.001163375,0.001163375,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,9,1050.5445039272308,0.78616,0.49283,0.90869,0.80008,0.71715,0.80121,0.56641,1.05093,0.6325,1.01915,0.0011510000000000001,0.0011510000000000001,0.0011510000000000001,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,10,1166.0842261314392,0.77224,0.47851,0.90416,0.86689,0.6562,0.76575,0.56331,1.02528,0.64824,1.00365,0.001138625,0.001138625,0.001138625,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,11,1281.519522190094,0.76617,0.4723,0.90348,0.83997,0.70946,0.80688,0.57509,1.03272,0.61538,1.00586,0.00112625,0.00112625,0.00112625,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,12,1397.1961903572083,0.7579,0.46213,0.89855,0.79308,0.76357,0.81833,0.58195,1.04685,0.63321,1.01762,0.001113875,0.001113875,0.001113875,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,13,1512.5643634796143,0.75145,0.45496,0.89629,0.85006,0.71513,0.82092,0.58728,0.99655,0.6003,0.99868,0.0011015,0.0011015,0.0011015,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,14,1627.793003320694,0.74206,0.4481,0.89323,0.85577,0.69008,0.7782,0.57037,1.0052,0.65042,0.98808,0.001089125,0.001089125,0.001089125,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,15,1743.5333843231201,0.73543,0.43891,0.89004,0.84052,0.721,0.79821,0.58292,1.01158,0.58693,1.0058,0.00107675,0.00107675,0.00107675,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,16,1858.9376590251923,0.73264,0.43429,0.88994,0.89658,0.6982,0.80163,0.5866,1.01561,0.62744,1.00666,0.001064375,0.001064375,0.001064375,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,17,1974.3962473869324,0.72347,0.42753,0.8867,0.83524,0.70384,0.77844,0.55727,1.03096,0.67723,1.0039,0.001052,0.001052,0.001052,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,18,2089.7516832351685,0.72206,0.42327,0.88754,0.6882,0.70051,0.7379,0.53873,1.01378,0.61222,1.00323,0.001039625,0.001039625,0.001039625,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,19,2205.263687610626,0.71772,0.42097,0.88459,0.88403,0.70767,0.82049,0.60302,0.99403,0.60978,0.99533,0.0010272500000000002,0.0010272500000000002,0.0010272500000000002,,
yolo_yolov5m_20260715_001409,yolo,yolo_yolov5m_20260715_001409,yolov5m.pt,/root/autodl-fs/datasets/UA-DETRAC_YOLO/data.yaml,train,20,2321.019639968872,0.71266,0.40999,0.88412,0.8557,0.71079,0.81405,0.59661,1.01137,0.583,1.00239,0.0010148750000000002,0.0010148750000000002,0.0010148750000000002,,
